state,county_name,office,district,candidate,column,magnitude,party,party_detailed
ARIZONA,MARICOPA,STATE HOUSE,004,OVERVOTE,14,2,,
ARIZONA,MARICOPA,STATE HOUSE,004,"FERNANDEZ, CHARLENE",14,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,004,"PETEN, GERALDINE 'GERAE'",14,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,004,"JOHN, JOEL",14,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,004,WRITE-IN,14,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,004,UNDERVOTE,14,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,012,OVERVOTE,16,2,,
ARIZONA,MARICOPA,STATE HOUSE,012,"GRANTHAM, TRAVIS",16,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,012,"HOFFMAN, JAKE",16,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,012,"CLARK, KRISTIN",16,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,012,NOT QUALIFIED 1,16,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,012,NOT QUALIFIED 2,16,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,012,UNDERVOTE,16,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,013,OVERVOTE,18,2,,
ARIZONA,MARICOPA,STATE HOUSE,013,"SANDOVAL, MARIANA",18,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,013,"DUNN, TIMOTHY 'TIM'",18,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,013,"OSBORNE, JOANNE",18,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,013,WRITE-IN,18,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,013,UNDERVOTE,18,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,015,OVERVOTE,20,2,,
ARIZONA,MARICOPA,STATE HOUSE,015,"DYBVIG-PAWELKO, KRISTIN",20,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,015,"KAISER, STEVE",20,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,015,"WILMETH, JUSTIN",20,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,015,WRITE-IN,20,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,015,UNDERVOTE,20,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,016,OVERVOTE,22,2,,
ARIZONA,MARICOPA,STATE HOUSE,016,"HUNTER, HELEN",22,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,016,"FILLMORE, JOHN",22,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,016,"PARKER, JACQUELINE",22,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,016,WRITE-IN,22,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,016,UNDERVOTE,22,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,017,OVERVOTE,24,2,,
ARIZONA,MARICOPA,STATE HOUSE,017,"PAWLIK, JENNIFER",24,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,017,"HARRIS, LIZ",24,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,017,"WENINGER, JEFF",24,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,017,WRITE-IN,24,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,017,UNDERVOTE,24,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,018,OVERVOTE,26,2,,
ARIZONA,MARICOPA,STATE HOUSE,018,"EPSTEIN, DENISE 'MITZI'",26,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,018,"JERMAINE, JENNIFER",26,2,DEM,DEMOCRAT
ARIZONA,MARICOPA,STATE HOUSE,018,"HAWKER, DON",26,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,018,"ROBSON, BOB",26,2,REP,REPUBLICAN
ARIZONA,MARICOPA,STATE HOUSE,018,NOT QUALIFIED 1,26,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,018,NOT QUALIFIED 2,26,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,018,"WILSON, CHRIS",26,2,W-I,W-I
ARIZONA,MARICOPA,STATE HOUSE,018,UNDERVOTE,26,2,,undervote
ARIZONA,MARICOPA,STATE HOUSE,019,OVERVOTE,28,2,,
ARIZONA,MARICOPA,STATE HOUSE,019,"ESPINOZA, DIEGO",28,2,DEM,DEMOCRAT
